Id,parentId,Workload,Server,Category,Type,OS name,Dependencies,Application name(s),Softwares(#),Support status,Security risks,Discovery method,Hypervisor type,Host,Tags,DB instances(#),Databases(#),Webapps(#),vCores(#),Memory (MB),Disks(#),Allocated storage (GB),OS Family,Support ends in (Days),Power status,Connected appliance,First discovered at,Last updated at,Processor,Database edition,Framework version,DB engine status,HADR configuration,IPv6/IPv4
"/subscriptions/ac866176-3fcf-43c6-817a-6309be256398/resourcegroups/mig11161437-rg/providers/microsoft.offazure/vmwaresites/mig11161437vmwaresite/machines/fe531d23-4bdb-4e72-b7cd-0bb230061bda_500f184d-8f5e-e039-4cdb-c59f57e20f2c","/subscriptions/ac866176-3fcf-43c6-817a-6309be256398/resourcegroups/mig11161437-rg/providers/microsoft.offazure/vmwaresites/mig11161437vmwaresite/machines/fe531d23-4bdb-4e72-b7cd-0bb230061bda_500f184d-8f5e-e039-4cdb-c59f57e20f2c","VM-GQLVM05","-","Server","Windows server","Windows Server 2022 Server Datacenter","Disabled","default","-1","Mainstream","2","Appliance","VMware","contoso-vcen70.fareast.corp.microsoft.com","","1","-","-","4","8192","1","100","Windows","2158","On","app130collector","-","-","-","-","-","-","-","2404:f801:4800:25:60c1:5208:1bf1:722f,10.150.13.19,2404:f801:4800:25:211:6a2:89e9:ce52,10.150.13.23,10.150.13.27"
"/subscriptions/ac866176-3fcf-43c6-817a-6309be256398/resourcegroups/mig11161437-rg/providers/microsoft.offazure/vmwaresites/mig11161437vmwaresite/machines/fe531d23-4bdb-4e72-b7cd-0bb230061bda_500fff03-354f-2a21-d78c-e1ede59856a7","/subscriptions/ac866176-3fcf-43c6-817a-6309be256398/resourcegroups/mig11161437-rg/providers/microsoft.offazure/vmwaresites/mig11161437vmwaresite/machines/fe531d23-4bdb-4e72-b7cd-0bb230061bda_500fff03-354f-2a21-d78c-e1ede59856a7","VM-GQLVM06","-","Server","Windows server","Windows Server 2022 Server Datacenter","Disabled","default","-1","Mainstream","2","Appliance","VMware","contoso-vcen70.fareast.corp.microsoft.com","","1","-","-","4","8192","1","100","Windows","2158","On","app130collector","-","-","-","-","-","-","-","2404:f801:4800:25:647d:1cc4:f2f0:c8ad,2404:f801:4800:25:f2c6:ca90:5c24:7e48,10.150.9.254,10.150.13.28,2404:f801:4800:25:4e81:dc02:af68:cc32,10.150.10.5"
"/subscriptions/ac866176-3fcf-43c6-817a-6309be256398/resourcegroups/mig11161437-rg/providers/microsoft.offazure/vmwaresites/mig11161437vmwaresite/machines/fe531d23-4bdb-4e72-b7cd-0bb230061bda_500f02cc-aa0f-1e77-7231-a21216f856ff","/subscriptions/ac866176-3fcf-43c6-817a-6309be256398/resourcegroups/mig11161437-rg/providers/microsoft.offazure/vmwaresites/mig11161437vmwaresite/machines/fe531d23-4bdb-4e72-b7cd-0bb230061bda_500f02cc-aa0f-1e77-7231-a21216f856ff","VM-GQLVM07","-","Server","Windows server","Windows Server 2022 Server Datacenter","Disabled","default","-1","Mainstream","2","Appliance","VMware","contoso-vcen70.fareast.corp.microsoft.com","","1","-","-","4","8192","1","100","Windows","2158","On","app130collector","-","-","-","-","-","-","-","2404:f801:4800:25:ee9c:cca0:dc72:c504,10.150.13.21,2404:f801:4800:25:a6bd:8a0e:eed2:ef7e,2404:f801:4800:25:a506:1191:5e1:f093,10.150.10.4,10.150.10.8"
"/subscriptions/ac866176-3fcf-43c6-817a-6309be256398/resourcegroups/mig11161437-rg/providers/microsoft.offazure/vmwaresites/mig11161437vmwaresite/machines/fe531d23-4bdb-4e72-b7cd-0bb230061bda_500f281e-477c-1618-045f-c44db285b012","/subscriptions/ac866176-3fcf-43c6-817a-6309be256398/resourcegroups/mig11161437-rg/providers/microsoft.offazure/vmwaresites/mig11161437vmwaresite/machines/fe531d23-4bdb-4e72-b7cd-0bb230061bda_500f281e-477c-1618-045f-c44db285b012","VM-GQLVM08","-","Server","Windows server","Windows Server 2022 Server Datacenter","Disabled","default","-1","Mainstream","2","Appliance","VMware","contoso-vcen70.fareast.corp.microsoft.com","","1","-","-","4","8192","1","100","Windows","2158","On","app130collector","-","-","-","-","-","-","-","2404:f801:4800:25:1f18:5c71:972b:8464,10.150.10.1,10.150.13.29,2404:f801:4800:25:49ab:4d6e:423a:b6,10.150.10.6"
"/subscriptions/ac866176-3fcf-43c6-817a-6309be256398/resourcegroups/mig11161437-rg/providers/microsoft.offazure/vmwaresites/mig11161437vmwaresite/machines/fe531d23-4bdb-4e72-b7cd-0bb230061bda_500f2ced-d8fc-cd5c-893e-d6358c452a36","/subscriptions/ac866176-3fcf-43c6-817a-6309be256398/resourcegroups/mig11161437-rg/providers/microsoft.offazure/vmwaresites/mig11161437vmwaresite/machines/fe531d23-4bdb-4e72-b7cd-0bb230061bda_500f2ced-d8fc-cd5c-893e-d6358c452a36","VM-GQLVM09","-","Server","Windows server","Windows Server 2022 Server Datacenter","Disabled","default","-1","Mainstream","2","Appliance","VMware","contoso-vcen70.fareast.corp.microsoft.com","","1","-","-","4","8192","1","80","Windows","2158","On","app130collector","-","-","-","-","-","-","-","2404:f801:4800:25:764f:3bc0:f757:ffce,10.150.9.202"
"/subscriptions/ac866176-3fcf-43c6-817a-6309be256398/resourcegroups/mig11161437-rg/providers/microsoft.offazure/vmwaresites/mig11161437vmwaresite/machines/fe531d23-4bdb-4e72-b7cd-0bb230061bda_500f483c-603c-163b-4b7b-262dae26b60f","/subscriptions/ac866176-3fcf-43c6-817a-6309be256398/resourcegroups/mig11161437-rg/providers/microsoft.offazure/vmwaresites/mig11161437vmwaresite/machines/fe531d23-4bdb-4e72-b7cd-0bb230061bda_500f483c-603c-163b-4b7b-262dae26b60f","VM-GQLVM10","-","Server","Windows server","Windows Server 2022 Server Datacenter","Disabled","default","-1","Mainstream","2","Appliance","VMware","contoso-vcen70.fareast.corp.microsoft.com","","1","-","-","4","8192","1","80","Windows","2158","On","app130collector","-","-","-","-","-","-","-","2404:f801:4800:25:cf9b:af19:dad0:23b8,10.150.12.245"
"/subscriptions/ac866176-3fcf-43c6-817a-6309be256398/resourcegroups/mig11161437-rg/providers/microsoft.offazure/vmwaresites/mig11161437vmwaresite/machines/db73f8f2-624c-4a0f-905b-8c6f34442cbc_5015891a-b3c0-f555-9fa9-fff3feb858f9","/subscriptions/ac866176-3fcf-43c6-817a-6309be256398/resourcegroups/mig11161437-rg/providers/microsoft.offazure/vmwaresites/mig11161437vmwaresite/machines/db73f8f2-624c-4a0f-905b-8c6f34442cbc_5015891a-b3c0-f555-9fa9-fff3feb858f9","win-ContosoUniversity-backend","-","Server","Windows server","Windows Server 2022 Server Standard","Disabled","default","-1","Mainstream","-","Appliance","VMware","idclab-vcen67.fareast.corp.microsoft.com","","-","-","-","4","16384","1","80","Windows","2158","On","app130collector","-","-","-","-","-","-","-","2404:f801:4800:1c:8097:64ee:f695:5062,10.150.101.53"
"/subscriptions/ac866176-3fcf-43c6-817a-6309be256398/resourcegroups/mig11161437-rg/providers/microsoft.offazure/vmwaresites/mig11161437vmwaresite/machines/db73f8f2-624c-4a0f-905b-8c6f34442cbc_501514ae-8c32-f811-d6cf-6e8802e1e7aa","/subscriptions/ac866176-3fcf-43c6-817a-6309be256398/resourcegroups/mig11161437-rg/providers/microsoft.offazure/vmwaresites/mig11161437vmwaresite/machines/db73f8f2-624c-4a0f-905b-8c6f34442cbc_501514ae-8c32-f811-d6cf-6e8802e1e7aa","win-ContosoUniversity-frontend","-","Server","Windows server","Windows Server 2022 Server Standard","Disabled","default","-1","Mainstream","-","Appliance","VMware","idclab-vcen67.fareast.corp.microsoft.com","","-","-","-","4","16384","1","80","Windows","2158","On","app130collector","-","-","-","-","-","-","-","2404:f801:4800:1c:a327:3817:8405:1a51,10.150.102.186"
"/subscriptions/ac866176-3fcf-43c6-817a-6309be256398/resourcegroups/mig11161437-rg/providers/microsoft.applicationmigration/pgsqlsites/mig11161437pgsql/pgsqlinstances/13298037983418522861028465962634","/subscriptions/ac866176-3fcf-43c6-817a-6309be256398/resourcegroups/mig11161437-rg/providers/microsoft.offazure/vmwaresites/mig11161437vmwaresite/machines/db73f8f2-624c-4a0f-905b-8c6f34442cbc_50156955-9730-407b-9225-555e02cac74d","WIN-MYSQLBB1:5432","-","Database","PostgreSQL server","17.4","Disabled","default","-","Mainstream","-","Appliance","-","-","{}","-","-","-","-","16383","-","-","-","-","-"," -","-","-","-","Unknown","-","-","-","-"
"/subscriptions/ac866176-3fcf-43c6-817a-6309be256398/resourcegroups/mig11161437-rg/providers/microsoft.applicationmigration/pgsqlsites/mig11161437pgsql/pgsqlinstances/63836105202562838693337432143056","/subscriptions/ac866176-3fcf-43c6-817a-6309be256398/resourcegroups/mig11161437-rg/providers/microsoft.offazure/vmwaresites/mig11161437vmwaresite/machines/db73f8f2-624c-4a0f-905b-8c6f34442cbc_5015218b-f1b4-c83f-6ec2-0b1118ce8ce2","WIN-MYSQLBB1:5433","-","Database","PostgreSQL server","11.22","Disabled","default","-","OutOfSupport","-","Appliance","-","-","{}","-","-","-","-","16383","-","-","-","-","-"," -","-","-","-","Unknown","-","-","-","-"
"/subscriptions/ac866176-3fcf-43c6-817a-6309be256398/resourcegroups/mig11161437-rg/providers/microsoft.applicationmigration/pgsqlsites/mig11161437pgsql/pgsqlinstances/51518615770574180494291333877123","/subscriptions/ac866176-3fcf-43c6-817a-6309be256398/resourcegroups/mig11161437-rg/providers/microsoft.offazure/vmwaresites/mig11161437vmwaresite/machines/db73f8f2-624c-4a0f-905b-8c6f34442cbc_5015218b-f1b4-c83f-6ec2-0b1118ce8ce2","WIN-MYSQLBB1:5434","-","Database","PostgreSQL server","15.12","Disabled","default","-","Mainstream","-","Appliance","-","-","{}","-","-","-","-","16383","-","-","-","-","-"," -","-","-","-","Unknown","-","-","-","-"
"/subscriptions/ac866176-3fcf-43c6-817a-6309be256398/resourcegroups/mig11161437-rg/providers/microsoft.applicationmigration/pgsqlsites/mig11161437pgsql/pgsqlinstances/03281333213926505675686012264637","/subscriptions/ac866176-3fcf-43c6-817a-6309be256398/resourcegroups/mig11161437-rg/providers/microsoft.offazure/vmwaresites/mig11161437vmwaresite/machines/db73f8f2-624c-4a0f-905b-8c6f34442cbc_5015f22a-0530-3798-8a48-cdb785388a6a","WIN-PG-04:5432","-","Database","PostgreSQL server","17.5","Disabled","default","-","Mainstream","-","Appliance","-","-","{}","-","-","-","-","16383","-","-","-","-","-"," -","-","-","-","Unknown","-","-","-","-"
"/subscriptions/ac866176-3fcf-43c6-817a-6309be256398/resourcegroups/mig11161437-rg/providers/microsoft.applicationmigration/pgsqlsites/mig11161437pgsql/pgsqlinstances/61331133620636857005020849867129","/subscriptions/ac866176-3fcf-43c6-817a-6309be256398/resourcegroups/mig11161437-rg/providers/microsoft.offazure/vmwaresites/mig11161437vmwaresite/machines/db73f8f2-624c-4a0f-905b-8c6f34442cbc_50159144-8ec4-8bab-5d10-ea2a219ef451","WIN-PGSQL-01:5432","-","Database","PostgreSQL server","14.19","Disabled","default","-","Mainstream","-","Appliance","-","-","{}","-","-","-","-","16383","-","-","-","-","-"," -","-","-","-","Unknown","-","-","-","-"
"/subscriptions/ac866176-3fcf-43c6-817a-6309be256398/resourcegroups/mig11161437-rg/providers/microsoft.applicationmigration/pgsqlsites/mig11161437pgsql/pgsqlinstances/77744988542299151010989005691045","/subscriptions/ac866176-3fcf-43c6-817a-6309be256398/resourcegroups/mig11161437-rg/providers/microsoft.offazure/vmwaresites/mig11161437vmwaresite/machines/db73f8f2-624c-4a0f-905b-8c6f34442cbc_50159144-8ec4-8bab-5d10-ea2a219ef451","WIN-PGSQL-01:5433","-","Database","PostgreSQL server","18.0","Disabled","default","-","Mainstream","-","Appliance","-","-","{}","-","-","-","-","16383","-","-","-","-","-"," -","-","-","-","Unknown","-","-","-","-"
